Date,ADRO,PTBA,INDY,ITMG
2011-03-01,450.4947164784307,970.1772301715354,2288.4105808423915,7887.681598165761
2011-04-01,438.66394958496096,1052.867254638672,2340.3941284179687,8287.5298828125
2011-05-01,450.20643833705356,1017.129382905506,2410.195603143601,8107.394321986607
2011-06-01,468.5697479248047,987.3140502929688,2291.7266357421877,7945.390795898437
2011-07-01,498.5799080984933,1018.3240298316592,2197.8168131510415,8314.558686755952
2011-08-01,458.2758708753084,943.8443089535361,1922.0641575863488,7848.7263826069075
2011-09-01,365.23531951904295,851.1435241699219,1664.2873413085938,7439.938134765625
2011-10-01,361.88897705078125,793.7131318591889,1487.4949834914435,7203.964680989583
2011-11-01,388.8429260253906,849.8378601074219,1371.9979469992898,7564.688720703125
2011-12-01,366.8954540434338,827.1031639462426,1265.2415422712054,6782.421968005952
2012-01-01,358.05233474004837,934.5686790829614,1436.6344749813989,6935.093889508928
2012-02-01,384.4876084100632,1006.5208885556176,1459.6261800130208,7354.091029575893
2012-03-01,380.34828404017856,999.9271676199777,1509.7899867466517,7580.129138764881
2012-04-01,365.28674163818357,936.9632598876954,1407.5115844726563,7625.64140625
2012-05-01,337.82967849004837,823.8405151367188,1189.5779564267114,6891.280180431548
2012-06-01,270.2225603376116,710.7344040643601,1027.799813406808,6610.435616629465
2012-07-01,298.10529258034444,787.576757257635,1099.644414728338,7013.506924715909
2012-08-01,305.8220584267064,760.4323377107319,1009.1853091591283,7067.113024259868
2012-09-01,304.94935302734376,780.4117279052734,960.2358703613281,7594.630346679687
2012-10-01,291.4578469016335,829.2285572398793,944.0397699529475,7957.93095259233
2012-11-01,284.6605972290039,806.048941040039,878.7063995361328,8052.848364257812
2012-12-01,307.8365766737196,749.7965630425347,874.6802266438802,7994.430609809027
2013-01-01,351.2240920293899,818.9158673967634,926.5887858072916,8160.241908482143
2013-02-01,330.4241485595703,778.2541229248047,869.9495086669922,7979.9232177734375
2013-03-01,299.9044077019942,748.5422266909951,819.1088256835938,7480.828973067434
2013-04-01,262.5900095159357,774.0774009011009,736.7847179066051,7486.234641335227
2013-05-01,229.82532154430044,737.5649746981534,620.1180031516335,6728.55078125
2013-06-01,175.38777562191612,653.9397711502878,514.6050238358347,5458.952996504934
2013-07-01,152.91952448305875,626.658739172894,444.2601676609205,5429.571925951087
2013-08-01,167.48918062097886,609.0615234375,355.67855475930605,5886.598288143382
2013-09-01,199.7800787062872,707.3807140531994,479.2782360258557,6283.848679315476
2013-10-01,210.17904663085938,695.9733857654389,511.3713916596912,6266.242047991072
2013-11-01,239.7960693359375,634.950570678711,476.53819885253904,6365.108837890625
2013-12-01,241.91857107062089,597.9037861071134,397.21276534231083,6081.230545847039
2014-01-01,206.60705947875977,504.46029510498045,347.62809295654296,5538.550341796875
2014-02-01,200.27366943359374,498.87071685791017,353.03245849609374,5658.786376953125
2014-03-01,209.5342674255371,498.0056747436523,384.3460037231445,5193.466479492187
2014-04-01,217.19567507789247,518.1732206798736,382.54456002371654,5353.337774367559
2014-05-01,260.84754435221356,585.6213853624132,406.03413560655383,5941.258870442708
2014-06-01,266.8737415132068,605.8587007068452,426.7483636765253,6174.976469494048
2014-07-01,247.8888766640111,606.3828510485197,420.8046087967722,5737.799933182566
2014-08-01,275.755876159668,730.6054138183594,454.761767578125,6219.465551757812
2014-09-01,277.22186556729406,741.6889537464489,488.12725830078125,5993.142955433239
2014-10-01,228.4293445089589,698.3490175993546,419.9097980001698,5046.122877038043
2014-11-01,230.33407669067384,707.9505004882812,370.0403228759766,4400.125500488281
2014-12-01,229.56298065185547,721.7525848388672,337.2962158203125,3835.1819580078127
2015-01-01,214.88372802734375,639.5839407784598,317.20770844959077,3515.3519694010415
2015-02-01,214.04455807334497,615.4081324527139,303.48124775133635,3971.4331568667762
2015-03-01,211.19416462291372,589.2827897505326,286.57606506347656,3963.7494562322445
2015-04-01,207.89520554315476,600.6701572963169,243.3934057326544,3639.595284598214
2015-05-01,196.63612365722656,580.3935514751233,248.66791654887953,3472.863949424342
2015-06-01,181.66378566196985,521.971925281343,206.15322730654762,3172.258475167411
2015-07-01,141.28107291773745,404.4915289627878,194.9588494551809,2716.1000077097037
2015-08-01,120.21225013732911,326.81721649169924,162.32181243896486,2290.011834716797
2015-09-01,127.77284967331659,329.3101152692522,140.69525582449776,2198.1886218843006
2015-10-01,139.09047408331008,380.1941731770833,128.46351950509208,2501.8719075520835
2015-11-01,132.26816922142393,377.3216828845796,100.0338134765625,1981.077160063244
2015-12-01,112.16020889282227,276.46251678466797,73.02256355285644,1563.1771667480468
2016-01-01,110.29148635864257,251.62985916137694,70.1614273071289,1383.5560424804687
2016-02-01,135.61742820739747,266.279549407959,75.56579475402832,1344.4685180664062
2016-03-01,160.72691926502046,363.23283022925966,159.1942425682431,1743.3971702938989
2016-04-01,162.7008746919178,403.90291922433033,213.35904584612166,1871.548072451637
2016-05-01,161.41030807495116,389.142887878418,357.8010314941406,2150.8539794921876
2016-06-01,197.56488037109372,455.3850264115767,373.9707655473189,2294.291759144176
2016-07-01,238.7198076248169,568.9768829345703,394.797119140625,2957.587844848633
2016-08-01,261.7521827004173,597.2985423694957,440.29713301225144,3091.46630859375
2016-09-01,281.2977948869978,585.6597929454986,404.7978355771019,2826.5626278831846
2016-10-01,339.1185782296317,696.3815249488467,432.95505777994794,3488.5029180617557
2016-11-01,376.71449279785156,727.205039284446,511.53654341264206,4262.5682594992895
2016-12-01,394.56363372802736,743.9605926513672,482.8962921142578,4491.171337890625
2017-01-01,407.4269353693182,709.0249162153764,462.4059101451527,4211.4274347478695
2017-02-01,405.36791839599607,666.4305084228515,469.5443145751953,4256.066625976562
2017-03-01,406.1299230402166,678.2272449840199,451.5682733709162,4858.72831587358
2017-04-01,441.75599500868054,767.0098673502604,463.96331278483075,5623.675509982639
2017-05-01,362.7495452880859,677.7415466308594,562.8491561889648,4631.3226318359375
2017-06-01,379.86698497425425,701.6982310901989,513.9930891557174,4837.420454545455
2017-07-01,410.9426647367932,775.9721970331101,522.1195853097098,5561.275739397322
2017-08-01,449.95769467561144,803.9538547681725,639.4018395465354,5713.014202615489
2017-09-01,435.7719973609561,665.0255621047247,1137.339634486607,5553.1689453125
2017-10-01,446.600380637429,665.1941278631037,1389.5297296697443,6032.668523615057
2017-11-01,430.3265907981179,693.9254927201705,1723.617997602983,6213.806085759943
2017-12-01,435.40047781808033,717.0091145833334,1869.2759486607142,6234.26611328125
2018-01-01,544.9328719429348,908.3729486880095,2509.507042926291,7689.483992866848
2018-02-01,598.1010925292969,989.9698608398437,2721.89453125,8981.42978515625
2018-03-01,524.9039126309482,894.1430580832741,2316.6535866477275,8408.925958806818
2018-04-01,519.1185346330915,1051.4073660714287,2366.417306082589,8588.26476469494
2018-05-01,454.4776054050611,1194.9894329568615,2416.7670261548915,8007.828655740489
2018-06-01,486.2365475609189,1356.335239955357,2509.753615606399,8227.592308407739
2018-07-01,470.1588606400923,1417.215692693537,2217.8304443359375,8075.962380149148
2018-08-01,483.0705725628397,1459.0649520210598,2117.128768257473,8853.317510190218
2018-09-01,452.6314407348633,1347.1799438476562,1856.6620849609376,8379.903393554687
2018-10-01,442.45919003693956,1505.3914794921875,1676.8913998811142,8263.76904296875
2018-11-01,371.6901966441761,1468.0924738103693,1499.0091053355825,7593.289306640625
2018-12-01,323.1684279668899,1416.9974365234375,1203.5124337332588,6929.053780691965
2019-01-01,362.81557829483694,1465.0567786175272,1325.610303795856,7462.607995074728
2019-02-01,347.4034759521484,1400.4554077148437,1356.5666076660157,7456.798120117188
2019-03-01,365.23799205961683,1365.778773716518,1363.886928013393,7827.204148065476
2019-04-01,340.0603138316761,1356.4080033735795,1164.2862382368608,7537.895063920455
2019-05-01,341.47650146484375,1131.588450556216,1023.4101031759511,6499.485691236413
2019-06-01,352.51956634521486,1088.6109252929687,1045.0726593017578,6431.370654296875
2019-07-01,360.8160758640455,1062.5175622027853,1192.5598356827445,6414.0888671875
2019-08-01,298.0486020174894,919.1610995205966,992.8263882723721,5179.860107421875
2019-09-01,367.8379749116443,915.9884730747768,1022.7687784830729,4946.457821800595
2019-10-01,359.564893639606,845.6477714206861,949.3465788468071,4770.498683763587
2019-11-01,364.57528105236236,913.1754499162946,917.5569458007812,4742.613316127232
2019-12-01,413.62582718698604,954.6952097039474,854.2238705283717,4274.382542660362
2020-01-01,409.34137656471944,944.5022194602273,828.9936384721236,4685.20927290483
2020-02-01,369.3118301391602,857.4865173339844,618.6815704345703,4149.131213378906
2020-03-01,267.3769364129929,756.7893211728051,432.7587178548177,3301.38671875
2020-04-01,285.3249083019438,720.3959176199777,542.8792986188616,2987.3031877790177
2020-05-01,283.217885017395,717.8796043395996,575.5823554992676,3054.5899810791016
2020-06-01,317.02177356538317,868.337652297247,554.6056838262649,3256.2097284226193
2020-07-01,327.425951871005,890.8563842773438,711.2782454057174,3219.3105135830965
2020-08-01,328.60704549153644,885.1875440809462,832.779042561849,3428.3629150390625
2020-09-01,348.4147838245739,863.2651866566051,776.0909895463424,3499.9559992009945
2020-10-01,344.4735910516036,849.8084331311678,767.1402298776727,3432.5077739514804
2020-11-01,362.16878109886534,906.8071695963541,934.5308954148065,4137.75359235491
2020-12-01,443.1746087325247,1199.6636256167762,1505.2027073910363,6391.9948087993425
2021-01-01,414.0895492553711,1198.6771606445313,1360.8828247070312,5833.3544921875
2021-02-01,356.86021985505755,1103.9327007092927,1208.6521124588817,5394.678582442434
2021-03-01,361.82057051225144,1152.0529341264205,1233.8424849076705,5197.117209694602
2021-04-01,357.4164544968378,1061.3630836123511,1167.4382033575148,5323.252557663691
2021-05-01,371.267386043773,980.6907169117648,1128.612757065717,5576.695858226103
2021-06-01,398.62640671502976,951.4158354259673,1105.1490711030506,6379.150995163691
2021-07-01,396.60406494140625,941.5837082635788,1077.2930443173364,6797.732073102678
2021-08-01,413.4457077026367,962.304409790039,1111.8615661621093,7195.041967773437
2021-09-01,447.57122109153056,1045.5532753684304,1181.9553389115767,7907.262673117898
2021-10-01,566.7281066894532,1220.6175476074218,1711.6655212402343,10895.538720703125
2021-11-01,525.5029380104759,1154.381874778054,1381.7484796697443,9675.574396306818
2021-12-01,640.9366122159091,1192.7214965820312,1333.3697287819602,9639.01171875
2022-01-01,774.0728062220982,1231.5270472935267,1398.6045212518602,9700.27748325893
2022-02-01,759.9885050455729,1279.362820095486,1697.831061469184,10631.663194444445
2022-03-01,959.5245472301136,1476.8739513050425,1933.3030062588778,12978.390491832386
2022-04-01,1067.2633249383223,1591.4513903166119,2152.6108655427633,14209.122532894737
2022-05-01,1104.0698893229167,1785.3481282552084,2176.870890299479,16624.939908854165
2022-06-01,1121.91557094029,2041.7047642299108,2192.501249767485,17264.58179873512
2022-07-01,1043.7872895740327,2060.0155087425596,1947.9871942429315,17737.813383556546
2022-08-01,1156.104442249645,2167.637273615057,2326.9449573863635,20246.7470703125
2022-09-01,1395.9080255681818,2212.9088023792615,2594.4086470170455,22245.95685369318
2022-10-01,1404.9623209635417,2080.657464890253,2718.355050223214,22593.263020833332
2022-11-01,1302.847500887784,1885.9218028675425,2432.017567027699,22802.742808948864
2022-12-01,1354.9228404651988,1925.5637539950285,2425.475830078125,23546.984730113636
2023-01-01,1197.5512114025298,1780.3665073939733,2147.109549386161,21125.925130208332
2023-02-01,1085.8752014160157,1802.2985473632812,1925.9886169433594,20614.86943359375
2023-03-01,1072.175789969308,1992.1920224144346,1874.9917573474702,22307.63011532738
2023-04-01,1138.1059395926338,2080.7803083147323,2188.431134905134,23656.52022879464
2023-05-01,994.7926490420386,1700.0104515438989,1850.403831845238,18660.422944568454
2023-06-01,934.6150979434742,1866.8075022977941,1781.9153550091912,16367.496036305147
2023-07-01,1007.4430206298828,2040.568536376953,1917.009228515625,17980.13974609375
2023-08-01,1055.7614607377486,2077.2035300514913,1869.8145474520597,19471.79900568182
2023-09-01,1196.3517272949218,2103.5807495117188,1975.1568481445313,21538.3728515625
2023-10-01,1134.4813509854403,1969.2968472567472,1829.4284446022727,20628.915394176136
2023-11-01,1055.3802517977629,1755.814774946733,1428.5273770419035,19049.87810724432
2023-12-01,1069.2939067639802,1749.6096319901317,1351.9617277446546,18519.475534539473
2024-01-01,1104.8001043146307,1911.0139271129262,1394.9075039950285,20217.179154829544
2024-02-01,1108.1290079752605,1912.753167046441,1231.4364556206597,20058.921875
2024-03-01,1203.8401489257812,2092.2646213107637,1350.31591796875,20684.023328993055
2024-04-01,1228.1784057617188,2195.809295654297,1367.9217147827148,20420.818481445312
2024-05-01,1306.2664998372395,2137.4670681423613,1319.4834120008682,19824.7919921875
2024-06-01,1363.9200710720486,2094.9457804361978,1250.6138644748264,19609.34157986111
2024-07-01,1468.6292724609375,2186.1532990828805,1336.4373620074728,20977.421875
2024-08-01,1624.3122336647727,2282.8263827237215,1444.9186290394175,21408.535067471592
2024-09-01,1794.5886352539062,2426.331579589844,1529.1885681152344,22197.33388671875
2024-10-01,1854.2803424337635,2549.5906504755435,1672.2778638756793,21870.82999320652
2024-11-01,1873.1256713867188,2369.9545288085938,1458.5149169921874,22270.475
2024-12-01,1954.831208881579,2289.884457236842,1411.1153692948192,22887.071751644737
